age_err count cumul_perc
 0 1011 0.242040
 1 1555 0.614316
 2  828 0.812545
 3  330 0.891549
 4  170 0.932248
 5   93 0.954513
 6   68 0.970792
 7   42 0.980848
 8   31 0.988269
 9   23 0.993775
10    8 0.995691
11    6 0.997127
12    6 0.998564
13    4 0.999521
14    1 0.999761
15    0 0.999761
16    0 0.999761
17    1 1.000000
18    0 1.000000
19    0 1.000000
20    0 1.000000
21    0 1.000000
22    0 1.000000
23    0 1.000000
24    0 1.000000
25    0 1.000000
26    0 1.000000
27    0 1.000000
28    0 1.000000
Value: -1.644412
